r	317	1201	10	10	0	0	30s	100	1	1451
r	311	1163	10	10	0	0	30s	100	1	1451
r	387	1197	10	10	0	0	30s	100	1	1451
r	383	1243	10	10	0	0	30s	100	1	1451
r	410	1196	10	10	0	0	30s	100	1	1451
r	400	1161	10	10	0	0	30s	100	1	1451
r	351	1164	10	10	0	0	30s	100	1	1451
r	336	1147	10	10	0	0	30s	100	1	1451
r	339	1113	10	10	0	0	30s	100	1	1451
r	324	1079	10	10	0	0	30s	100	1	1451
r	314	1064	10	10	0	0	30s	100	1	1451
r	307	1053	10	10	0	0	30s	100	1	1451
r	294	1028	10	10	0	0	30s	100	1	1451
r	312	1015	10	10	0	0	30s	100	1	1451
r	331	1002	10	10	0	0	30s	100	1	1451
r	420	1225	10	10	0	0	30s	100	1	1451
r	425	1207	10	10	0	0	30s	100	1	1451
r	423	1174	10	10	0	0	30s	100	1	1451
r	380	1071	10	10	0	0	30s	100	1	1451
r	362	1079	10	10	0	0	30s	100	1	1451
r	397	990	10	10	0	0	30s	100	1	1451
r	384	977	10	10	0	0	30s	100	1	1451
r	358	957	10	10	0	0	30s	100	1	1451
r	329	940	10	10	0	0	30s	100	1	1451
r	290	963	10	10	0	0	30s	100	1	1451
r	268	988	10	10	0	0	30s	100	1	1451
r	250	984	10	10	0	0	30s	100	1	1451
r	170	951	10	10	0	0	30s	100	1	1451
r	165	911	10	10	0	0	30s	100	1	1451
r	171	881	10	10	0	0	30s	100	1	1451
r	173	841	10	10	0	0	30s	100	1	1451
r	208	821	10	10	0	0	30s	100	1	1451
r	239	812	10	10	0	0	30s	100	1	1451
r	271	821	10	10	0	0	30s	100	1	1451
r	327	815	10	10	0	0	30s	100	1	1451
r	362	808	10	10	0	0	30s	100	1	1451
r	379	786	10	10	0	0	30s	100	1	1451
r	394	769	10	10	0	0	30s	100	1	1451
r	475	903	10	10	0	0	30s	100	1	1451
r	547	871	10	10	0	0	30s	100	1	1451
r	570	850	10	10	0	0	30s	100	1	1451
r	603	808	10	10	0	0	30s	100	1	1451
r	563	809	10	10	0	0	30s	100	1	1451
r	576	803	10	10	0	0	30s	100	1	1451
