m	389	1207	100	100	0	0	600s	100	1	8025
m	335	953	100	100	0	0	600s	100	1	8025
m	321	643	100	100	0	0	600s	100	1	8025
m	263	333	100	100	0	0	600s	100	1	8025
m	477	462	100	100	0	0	600s	100	1	8025
m	635	733	100	100	0	0	600s	100	1	8025
m	1073	1017	100	100	0	0	600s	100	1	8025
m	1376	1157	100	100	0	0	600s	100	1	8025
m	1271	1275	100	100	0	0	600s	100	1	8025
m	719	338	100	100	0	0	600s	100	1	8026
m	904	226	100	100	0	0	600s	100	1	8026
m	1169	288	100	100	0	0	600s	100	1	8026
m	1420	132	100	100	0	0	600s	100	1	8026
m	1341	454	100	100	0	0	600s	100	1	8026
m	1091	685	100	100	0	0	600s	100	1	8026
