m	469	380	0	0	0	6	1m	 100	1	9001	//Armas
m	453	400	0	0	0	6	1m	 100	1	9002	//Armaduras
m	409	301	0	0	0	1	1m	 100	1	9003	//General
m	446	331	0	0	0	8	1m	 100	1	9005	//Almacen
m	386	347	0	0	0	2	1m	 100	1	9006	//Anciano
m	419	297	0	0	0	1	1m	 100	1	20016	//Herrero
m	144	873	0	0	0	4	1m	 100	1	9012	//Teleportador
// NPC-------------------------------------------------------------------------------
m	445	281	0	0	0	8	1m	 100	1	20349	//Establo
m	412	384	0	0	0	3	1m	 100	1	20015	//Deok Bae
m	402	358	0	0	0	3	1m	 100	1	20010	//Peddler
m	368	352	0	0	0	2	1m	 100	1	20020	//Traidor Balso
m	433	387	0	0	5	8	1m	 100	1	20022	//
m	405	424	1	1	6	0	1m	 100	1	20012	//
m	369	385	1	1	4	0	1m	 100	1	20014	//

m	476	349	1	1	0	6	1m	 100	1	20017	//
m	471	362	1	1	0	7	1m	 100	1	20019	//
m	385	271	1	1	0	4	1m	 100	1	20021	//
m	430	300	1	1	0	8	1m	 100	1	20024	//
g	452	266	1	1	0	0	1m	 100	1	12007	//
// 길드
m	432	351	0	0	0	0	1m	 100	1	11002	//
m	443	362	0	0	0	0	1m	 100	1	11003	//
// 떠돌이 행상인
m	167	224	0	0	0	0	1m	100	1	20042	//
m	896	471	0	0	0	5	1m	100	1	20638	//
m	884	465	0	0	0	3	1m	100	1	40005	//
