//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
//SKLL
m	622	551	0	0	0	1	1m	100	1	20300		//Maestro
m	625	550	0	0	0	1	1m	100	1	20301		//Maestro
m	629	549	0	0	0	1	1m	100	1	20302		//Maestro
m	632	548	0	0	0	1	1m	100	1	20303		//Maestro
m	642	545	0	0	0	1	1m	100	1	20304		//Maestro
m	645	544	0	0	0	1	1m	100	1	20305		//Maestro
m	649	543	0	0	0	1	1m	100	1	20306		//Maestro
m	652	542	0	0	0	1	1m	100	1	20307		//Maestro

//NPCS
m	638	456	0	0	0	1	1m	100	1	20355		//Capitan
m	550	628	0	0	0	3	1m	100	1	9006		//Anciano
m	678	605	0	0	0	6	1m	100	1	9005		//Almacen
m	814	525	0	0	0	6	1m	100	1	20016		//Herrero
m	841	504	0	0	0	5	1m	100	1	60003		//Teovadn
m	840	484	0	0	0	8	1m	100	1	20438		//Monjess
m	437	714	0	0	0	7	1m	100	1	20084		//Biologo
m	637	379	0	0	0	3	5s	100	1	9012		//Teleprt
m	550	527	0	0	0	3	1m	100	1	20349		//Establo
m	624	639	0	0	0	4	1m	100	1	20008		//Octavio
m	644	659	0	0	0	3	1m	100	1	20023		//MrrSoon
m	660	653	0	0	0	7	1m	100	1	20005		//MrYonah
m	792	546	0	0	0	3	1m	100	1	20429		//CZMonje
m	574	639	0	0	0	8	1m	100	1	20001		//Alchemt
m	865	612	0	0	0	6	1m	100	1	20018		//BaeksGo
m	650	553	0	0	0	8	5s	100	1	11001		//Batalla
m	812	537	0	0	0	8	1m	100	1	20002		//Aranyoo
m	872	558	0	0	0	8	1m	100	1	20003		//Ahhyuns
m	549	508	0	0	0	3	1m	100	1	20006		//Mirines
m	673	543	0	0	0	8	1m	100	1	11000		//Guardia
m	867	636	0	0	0	3	1m	100	1	20011		//Urielss
m	650	620	0	0	0	0	1m	100	1	20041		//Peatons
m	793	506	0	0	0	3	1m	100	1	20506		//OkeyCrd
m	817	584	0	0	0	7	1m	100	1	40005		//DngnShp
m	821	571	0	0	0	5	5s	100	1	40033		//Liliths
m	580	494	0	0	0	1	5s	100	1	20414		//CombatN


//FISH
m	692	349	0	0	0	3	1m	100	1	9009		//Pescadr
m	765	660	0	0	0	2	1m	100	1	9009		//Pescadr


//SHOP
m	596	551	0	0	0	1	1m	100	1	9001		//Tiendas
m	595	608	0	0	0	5	1m	100	1	9002		//Tiendas
m	692	547	0	0	0	8	1m	100	1	9003		//Tiendas
m	767	512	0	0	0	4	1m	100	1	20504		//Tiengas


//DNGS
m	404	54	0	0	0	1	1m	100	1	20626		//SlimeDg
m	381	72	0	0	0	2	1m	100	1	40005		//SlimeSh

//TRGT
m	605	526	0	0	0	5	5s	100	1	60409		//TargetN
m	605	523	0	0	0	5	5s	100	1	60409		//TargetN
m	605	520	0	0	0	5	5s	100	1	60409		//TargetN
m	605	517	0	0	0	5	5s	100	1	60409		//TargetN
m	605	514	0	0	0	5	5s	100	1	60409		//TargetN
m	605	511	0	0	0	5	5s	100	1	60409		//TargetN


//WARP
m	113	109	0	0	0	0	5s	100	1	10003		//Teleprt

//EVNT
//m	647	587	0	0	0	7	1m	100	1	30129		//EasterE


