m	449	601	0	0	0	1	1m	 100	1	9001	//Armas
m	470	600	0	0	0	1	1m	 100	1	9002	//Armaduras
m	417	615	0	0	0	3	1m	 100	1	9003	//General
m	441	565	0	0	0	8	1m	 100	1	9005	//Almacen
m	485	666	0	0	0	6	1m	 100	1	9006	//Anciano
m	415	628	0	0	0	3	1m	 100	1	20016	//Herrero
m	100	150	0	0	0	4	1m	 100	1	9012	//Teleportador
// NPC-------------------------------------------------------------------------------
m	544	588	0	0	0	5	1m	 100	1	20349	//Establo
m	582	561	0	0	0	0	1m	 100	1	20015	//Deok Bae
m	516	579	0	0	0	0	1m	 100	1	20010	//Peddler
m	528	618	0	0	0	0	1m	 100	1	20020	//Traidor Balso
m	419	563	0	0	0	8	1m	 100	1	20022	//
m	540	559	1	1	0	0	1m	 100	1	20012	//
m	483	683	1	1	0	0	1m	 100	1	20014	//
m	419	643	1	1	0	4	1m	 100	1	20017	//
m	584	626	1	1	0	8	1m	 100	1	20019	//
m	411	584	1	1	0	0	1m	 100	1	20021	//
m	594	583	1	1	0	0	1m	 100	1	20024	//
g	551	602	1	1	0	0	1m	 100	1	12007	//
m	496	570	0	0	0	1	1m	 100	1	9012	//
// 길드
m	458	631	0	0	0	0	1m	 100	1	11000	//
m	481	642	0	0	0	0	1m	 100	1	11001	//
// 떠돌이 행상인
m	180	600	0	0	0	0	1m	100	1	20042	//
m	407	42	0	0	0	1	1m	100	1	20638	//
m	396	47	0	0	0	2	1m	100	1	40005	//
